User ID,Nombre_Completo,Rol_Hospitalario,Pais_Residencia,Ciudad_Base,Turno_Asignado,Estado_Cuenta,Fecha_Ingreso
-8448740978189142300,Evelyn Galvan,Farmacéutico/a,CO,Cali,Tarde,Activo,2023-11-24
-8444121902391557207,Rita Adams,Enfermero/a,CO,Bucaramanga,Diurno,Activo,2023-10-07
-8432292859914925061,Shane Garrison,Administrativo - Facturación,MX,Ciudad de México,Nocturno,Activo,2018-09-06
-8417606838144577960,Julia Torres,Médico General,CO,Ibagué,Diurno,Activo,2023-11-02
-8415236504725476251,Alexander Lee,Médico Especialista,CO,Bucaramanga,Nocturno,Activo,2019-08-19
-8415192589397614014,Tracy Ramirez,Médico Especialista,CL,Santiago,Diurno,Activo,2022-06-14
-8411341521870407128,William Herrera,Personal de Laboratorio,CO,Ibagué,Tarde,Activo,2025-02-17
-8404069987638300150,Wesley White,Enfermero/a,CO,Bucaramanga,Diurno,Activo,2025-05-04
-8394174128138439775,Brian Hamilton,Médico General,CO,Medellín,Nocturno,Activo,2023-03-27
-8393486139849138498,Larry Dixon,Auxiliar de Enfermería,CO,Medellín,Tarde,Activo,2020-02-23
-8392943550571546301,Dawn Fletcher,Médico General,CO,Barranquilla,Tarde,Activo,2016-09-10
-8379831827370421368,Kimberly Ball,Farmacéutico/a,MX,Puebla,Administrativo,Activo,2023-05-10
-8352775003883215858,Helen Jones,Enfermero/a,AR,Córdoba,Tarde,Activo,2022-08-28
-8340408050619266098,Erik Charles,Enfermero/a,CO,Bucaramanga,Diurno,Activo,2023-02-26
-8338344591151240930,Eric Ortiz,Enfermero/a,CO,Bucaramanga,Administrativo,Inactivo,2020-04-19
-8317251332112073790,Cameron Fisher,Auxiliar de Enfermería,CO,Ibagué,Diurno,Activo,2025-02-20
-8316474490871497153,Stephanie Gilbert,Enfermero/a,CO,Medellín,Diurno,Activo,2019-05-22
-8311851058027845790,April Mitchell,Médico Especialista,CO,Bucaramanga,Tarde,Activo,2020-07-19
-8310141270658944542,Mary Marshall,Médico Especialista,CO,Cali,Diurno,Activo,2020-08-28
-8294650555986231836,John Santana,Directivo / Gerencia,PE,Lima,Diurno,Activo,2023-11-04
-8287089038389536817,Bradley Robertson,Personal de TI / Soporte,CO,Medellín,Nocturno,Activo,2022-05-17
-8280875043389227187,Robert Potter,Farmacéutico/a,CO,Bogotá,Diurno,Activo,2022-09-25
-8274148389604763389,Curtis Johnson,Enfermero/a,CO,Cali,Nocturno,Activo,2018-11-18
-8268808780342592750,Samuel Jones,Directivo / Gerencia,CO,Barranquilla,Administrativo,Activo,2020-05-29
-8263868518430109484,Cheyenne Horton,Personal de Laboratorio,PE,Arequipa,Nocturno,Activo,2021-02-16
-8260437404242818883,Matthew Smith,Farmacéutico/a,CO,Bogotá,Nocturno,Inactivo,2023-06-09
-8255730330498140740,Ashley Coleman,Enfermero/a,CO,Medellín,Nocturno,Inactivo,2018-04-06
-8239879569456908647,Kelly Williams,Enfermero/a,MX,Monterrey,Administrativo,Activo,2018-12-03
-8235255941203916328,Joyce Solis,Médico Especialista,CL,Santiago,Diurno,Activo,2022-09-08
-8215253806101134859,Linda Dodson DVM,Personal de TI / Soporte,CO,Bucaramanga,Diurno,Activo,2022-03-11
-8213789846853569835,Kathy Rivas,Enfermero/a,CO,Barranquilla,Tarde,Activo,2021-08-10
-8199042049691555462,Natasha Wells,Médico General,ES,Sevilla,Tarde,Activo,2019-01-04
-8197236030712726721,Mark Cannon,Enfermero/a,MX,Puebla,Diurno,Activo,2021-05-15
-8190835568080820775,Denise Jones,Auxiliar de Enfermería,CO,Medellín,Nocturno,Inactivo,2019-04-02
-8182870093979093149,Francisco Fernandez,Médico General,MX,Monterrey,Diurno,Activo,2017-12-03
-8158231480038738436,Michael Mccarthy,Administrativo - Facturación,CO,Medellín,Administrativo,Activo,2017-04-04
-8156150690824823668,Joshua Perry,Personal de Laboratorio,CO,Medellín,Diurno,Activo,2018-07-16
-8155000707688084597,Taylor Silva,Farmacéutico/a,AR,Rosario,Diurno,Activo,2022-12-09
-8143785148969685732,Pamela James,Enfermero/a,CO,Ibagué,Diurno,Activo,2016-09-24
-8141663964572693800,Paul Castaneda,Auxiliar de Enfermería,CO,Ibagué,Diurno,Activo,2025-04-04
-8100927497210177491,Paul Payne,Auxiliar de Enfermería,US,Houston,Diurno,Activo,2022-02-08
-8100366845664470263,Daniel Graham,Farmacéutico/a,ES,Sevilla,Diurno,Activo,2016-12-09
-8093749329772201452,Michael Powell,Médico Especialista,PE,Cusco,Diurno,Activo,2018-03-01
-8092253358858539287,Cameron Dean,Enfermero/a,CO,Barranquilla,Diurno,Activo,2016-12-02
-8087649405336418747,Justin Johnson,Médico Especialista,EC,Guayaquil,Tarde,Activo,2022-06-18
-8072755223163938089,Joel Williams,Auxiliar de Enfermería,CO,Medellín,Tarde,Activo,2020-02-03
-8043802875890443527,Gabriel Juarez,Enfermero/a,CO,Medellín,Diurno,Activo,2020-02-03
-8021469849295997358,Sandra King,Médico General,CO,Ibagué,Diurno,Activo,2017-06-01
-8003725151622578462,Joshua Cooke,Médico Especialista,ES,Sevilla,Diurno,Activo,2019-10-30
-7991108441778351984,Rachael Pearson,Auxiliar de Enfermería,PE,Lima,Diurno,Activo,2023-06-20
-7987485124096929481,Christina Smith,Médico General,MX,Ciudad de México,Diurno,Activo,2018-01-18
-7975237757074786115,Michael Elliott,Personal de TI / Soporte,CO,Bogotá,Nocturno,Activo,2018-08-22
-7973461950252841597,Pamela Jackson,Auxiliar de Enfermería,CO,Medellín,Administrativo,Activo,2022-02-22
-7969768508915212893,Ashley Weiss,Enfermero/a,CO,Bucaramanga,Administrativo,Activo,2025-05-12
-7961507633144379433,Alexander Collins,Auxiliar de Enfermería,CO,Medellín,Tarde,Activo,2022-10-10
-7919326178468563726,Jennifer Espinoza,Médico Especialista,CO,Bucaramanga,Tarde,Activo,2017-05-12
-7883071372748647352,Lori Garcia,Personal de TI / Soporte,CO,Barranquilla,Diurno,Inactivo,2023-08-19
-7880788936499491152,Lindsay Martinez,Auxiliar de Enfermería,AR,Rosario,Nocturno,Activo,2025-07-13
-7880526754500520791,Hannah Patterson,Personal de Laboratorio,CO,Bogotá,Nocturno,Activo,2020-01-06
-7878134674574783281,Gloria Atkinson,Médico Especialista,ES,Sevilla,Nocturno,Activo,2024-01-30
-7845947908278228977,Tyler Reid,Auxiliar de Enfermería,CO,Barranquilla,Administrativo,Activo,2024-02-19
-7843761130618950041,Jessica Gross,Auxiliar de Enfermería,CO,Ibagué,Tarde,Activo,2025-05-14
-7835718789813329767,Robert Medina,Personal de TI / Soporte,CO,Barranquilla,Nocturno,Activo,2021-01-11
-7811232788514802633,Nicholas Adams,Auxiliar de Enfermería,CO,Ibagué,Nocturno,Activo,2024-05-05
-7798318965084061400,Angelica Keith,Enfermero/a,CO,Cali,Diurno,Activo,2018-11-15
-7778336782862768387,Leonard Gray,Enfermero/a,CO,Ibagué,Administrativo,Activo,2016-12-08
-7764445394619684882,Catherine Lewis,Enfermero/a,CO,Bogotá,Diurno,Activo,2023-11-10
-7755540017030618976,Spencer Haynes,Auxiliar de Enfermería,CO,Bucaramanga,Administrativo,Activo,2019-03-02
-7754050239552163635,Travis Miller,Enfermero/a,CO,Bucaramanga,Nocturno,Activo,2023-02-27
-7736963984300466852,Peter Vaughn DDS,Médico Especialista,CO,Bogotá,Diurno,Activo,2021-02-04
-7731207865012194398,Anna Walker,Administrativo - Facturación,CO,Bucaramanga,Nocturno,Activo,2022-11-26
-7721777670243913174,Kevin Kennedy,Administrativo - RRHH,CO,Ibagué,Diurno,Activo,2021-06-16
-7691372073632561513,Patrick Rivera,Médico Especialista,CO,Cali,Nocturno,Activo,2023-01-02
-7687284183827033250,David Martinez,Auxiliar de Enfermería,CO,Bucaramanga,Nocturno,Activo,2018-05-31
-7683550552046213682,Joshua Gill,Médico Especialista,CO,Cali,Nocturno,Activo,2018-05-06
-7657669648598389619,John Hardy,Farmacéutico/a,CO,Bogotá,Administrativo,Activo,2025-06-20
-7657320590631111080,Diane Garcia,Enfermero/a,PE,Arequipa,Diurno,Activo,2018-06-05
-7656248094101974340,Christopher Smith,Farmacéutico/a,CO,Barranquilla,Diurno,Activo,2021-06-26
-7653046373498086896,William Tran,Personal de Laboratorio,CO,Medellín,Tarde,Activo,2022-12-15
-7641408711165121762,Sean Henry,Personal de Laboratorio,CO,Barranquilla,Diurno,Inactivo,2024-07-13
-7641099924252682481,Julie Alexander,Médico Especialista,CO,Bogotá,Tarde,Activo,2018-05-04
-7631464517063986908,Todd Woods,Personal de TI / Soporte,CO,Bucaramanga,Diurno,Activo,2024-01-29
-7621194270049326375,Benjamin Soto,Médico General,AR,Rosario,Tarde,Activo,2017-02-28
-7618517421062650132,Justin Torres,Médico Especialista,CO,Cali,Tarde,Activo,2025-08-16
-7601099644841130508,Phillip Obrien,Auxiliar de Enfermería,CO,Ibagué,Administrativo,Activo,2023-10-18
-7594312190584620332,Joseph Hayes,Enfermero/a,CO,Medellín,Diurno,Activo,2020-08-30
-7574480164336777428,Wanda Torres,Administrativo - Facturación,CO,Ibagué,Administrativo,Activo,2022-04-08
-7568768204285258508,Natalie Meza,Administrativo - Facturación,CO,Bogotá,Tarde,Activo,2018-07-19
-7559906597721364354,Matthew Moore,Enfermero/a,CO,Bucaramanga,Diurno,Activo,2018-03-30
-7555134131725895933,Aaron Hayes,Personal de TI / Soporte,CO,Cali,Tarde,Activo,2022-01-08
-7554213273307948507,David Mann,Enfermero/a,US,Los Ángeles,Tarde,Inactivo,2023-01-02
-7551738395792119507,Michael Bradshaw,Auxiliar de Enfermería,CO,Ibagué,Diurno,Activo,2023-10-08
-7551120378182104807,Mary Peck,Médico General,EC,Cuenca,Tarde,Activo,2020-07-03
-7548509072505564796,Maria Kerr,Personal de TI / Soporte,CO,Medellín,Diurno,Activo,2024-02-13
-7546740578675175948,Christopher Parker,Médico General,ES,Barcelona,Tarde,Activo,2023-06-02
-7541317752666364353,Donna Martinez,Médico Especialista,CO,Cali,Tarde,Inactivo,2022-11-16
-7526053195254258233,Terri Mason,Enfermero/a,CO,Medellín,Tarde,Activo,2021-02-14
-7521479709170439604,Andrew Reynolds,Directivo / Gerencia,EC,Cuenca,Nocturno,Activo,2019-07-31
-7521237482271503992,Brandon Hayden,Administrativo - RRHH,CO,Ibagué,Diurno,Activo,2024-03-14
-7496967008143997344,Tiffany Key,Personal de Laboratorio,PE,Lima,Administrativo,Activo,2022-09-23
-7491406508237674036,Andrew Avila,Administrativo - RRHH,MX,Monterrey,Nocturno,Activo,2020-11-29
-7486747744909547765,Sydney White,Administrativo - RRHH,CO,Barranquilla,Administrativo,Activo,2021-12-11
-7477642073153823201,Katherine Davis,Auxiliar de Enfermería,CO,Bogotá,Nocturno,Activo,2019-10-23
-7474400611885392423,Michael Hodge,Enfermero/a,CO,Bogotá,Diurno,Activo,2019-08-25
-7471608613655046285,Donna Landry,Personal de Laboratorio,CL,Valparaíso,Tarde,Activo,2024-01-01
-7464544894347393403,Jordan Edwards,Farmacéutico/a,ES,Valencia,Diurno,Activo,2019-08-03
-7463781822289739808,Jennifer Robertson,Enfermero/a,CO,Medellín,Nocturno,Activo,2025-07-27
-7458896929402664134,Kimberly Gutierrez,Médico Especialista,CO,Bogotá,Tarde,Activo,2018-05-14
-7454381422951547995,Peter Garrett,Personal de Laboratorio,CO,Medellín,Diurno,Activo,2023-07-09
-7447683415945781053,Joshua Pennington,Enfermero/a,CO,Ibagué,Administrativo,Activo,2020-08-15
-7432724735906066945,Barbara Dudley,Personal de TI / Soporte,CO,Bogotá,Diurno,Activo,2022-02-27
-7420550578520608713,Christopher Pierce,Médico General,MX,Ciudad de México,Tarde,Activo,2021-08-25
-7394223789877583453,Willie Durham,Médico Especialista,CO,Bucaramanga,Nocturno,Activo,2020-10-30
-7384612111769493524,Ronnie Jimenez,Administrativo - Facturación,AR,Córdoba,Diurno,Activo,2023-02-16
-7374898902829648366,Denise Davenport,Médico General,CO,Bogotá,Tarde,Activo,2025-07-02
-7367125050558369843,Juan Reyes,Médico General,CO,Ibagué,Nocturno,Activo,2024-12-22
-7355809216051411580,Sherry Shields,Auxiliar de Enfermería,CO,Medellín,Diurno,Activo,2019-03-02
-7345591596404010739,Jennifer Villa,Administrativo - RRHH,PE,Lima,Tarde,Activo,2021-03-31
-7335000758503249167,Diane Evans,Médico General,CO,Bucaramanga,Diurno,Activo,2021-12-17
-7333362574314004754,Mrs. Brittany Ryan MD,Enfermero/a,CO,Barranquilla,Nocturno,Inactivo,2021-08-24
-7320088037909049256,Jordan Morris,Personal de Laboratorio,CO,Ibagué,Diurno,Activo,2018-05-18
-7315505656695661706,Laura Hall,Directivo / Gerencia,ES,Barcelona,Administrativo,Activo,2023-08-29
-7314026825581305475,Patrick Thornton,Auxiliar de Enfermería,CO,Cali,Administrativo,Activo,2023-12-25
-7284260835500693899,Matthew Hoover,Médico Especialista,CO,Ibagué,Diurno,Activo,2025-07-03
-7282872965242701496,Andrew Shaw MD,Médico Especialista,MX,Puebla,Diurno,Activo,2024-07-03
-7282366167495022523,Jessica Fox,Médico General,MX,Guadalajara,Tarde,Activo,2020-10-15
-7271334397427815501,Jennifer Pena,Médico Especialista,CO,Ibagué,Nocturno,Activo,2018-01-25
-7269205494491057023,Wayne Morgan,Farmacéutico/a,CO,Bucaramanga,Tarde,Activo,2022-11-29
-7268073243558911771,Sarah Phelps,Médico Especialista,CO,Bucaramanga,Diurno,Activo,2024-05-30
-7258213498365033470,Eugene Higgins,Auxiliar de Enfermería,CO,Medellín,Diurno,Activo,2023-07-07
-7254670462875615542,Amanda Jones,Farmacéutico/a,CO,Bucaramanga,Administrativo,Activo,2022-05-11
-7242661200229916304,Yolanda Francis,Auxiliar de Enfermería,CO,Cali,Tarde,Activo,2020-08-01
-7239680438435086579,Mark Brennan,Médico General,CO,Barranquilla,Administrativo,Activo,2020-09-02
-7238554704338794906,Stephanie Williams,Administrativo - Facturación,CO,Bucaramanga,Tarde,Activo,2023-11-04
-7226691826641920627,James Thomas,Farmacéutico/a,CO,Bucaramanga,Administrativo,Activo,2021-06-16
-7213868657314534097,Rebecca Jackson,Personal de Laboratorio,CO,Cali,Diurno,Activo,2017-05-22
-7201544310716568264,Lisa Allen,Médico Especialista,CO,Barranquilla,Diurno,Activo,2024-11-22
-7183545252953511337,Joel King,Médico Especialista,CO,Ibagué,Administrativo,Activo,2018-12-23
-7174050658163552033,Robert Santana,Personal de TI / Soporte,EC,Guayaquil,Administrativo,Activo,2022-10-11
-7170425880581711494,Jeremy Reed,Enfermero/a,CO,Bogotá,Diurno,Activo,2021-12-19
-7168038656154979280,Jessica Wright,Enfermero/a,CO,Medellín,Tarde,Activo,2024-04-14
-7166133014484708375,James Webb,Auxiliar de Enfermería,CO,Medellín,Tarde,Activo,2018-10-24
-7159524360366771948,Laura Haney,Farmacéutico/a,CO,Bogotá,Tarde,Activo,2019-05-03
-7149320265640284479,Mary Hill,Personal de TI / Soporte,CO,Cali,Diurno,Activo,2021-10-09
-7134890500077051386,Natasha Williams,Enfermero/a,CO,Bogotá,Administrativo,Activo,2022-02-19
-7133281319629446272,Tanner Mitchell DDS,Personal de TI / Soporte,PE,Cusco,Diurno,Activo,2022-02-21
-7129821349754279966,Mark Oliver,Médico Especialista,CO,Ibagué,Nocturno,Activo,2022-10-11
-7124326428378751868,Mary Massey,Auxiliar de Enfermería,CO,Medellín,Diurno,Activo,2022-05-02
-7119921936545045249,Maria Parker,Auxiliar de Enfermería,CO,Ibagué,Diurno,Activo,2020-08-23
-7112272671446261222,Morgan Davis,Médico Especialista,CO,Medellín,Nocturno,Activo,2019-05-03
-7104303117456636163,Casey Anderson,Médico Especialista,EC,Quito,Diurno,Activo,2021-07-14
-7098208411152970455,Kiara Mcintyre,Enfermero/a,CO,Bogotá,Nocturno,Activo,2024-02-25
-7091867865025646062,Roger Olson,Directivo / Gerencia,MX,Ciudad de México,Diurno,Activo,2023-12-08
-7070951675693548082,Gina Wilson,Auxiliar de Enfermería,MX,Guadalajara,Administrativo,Activo,2025-05-06
-7062017454461912221,Vincent Dalton,Personal de TI / Soporte,CO,Bogotá,Nocturno,Activo,2023-03-13
-7047204374111216588,Tracy Ballard,Administrativo - Facturación,CO,Bogotá,Administrativo,Activo,2019-12-21
-7046048693997460286,Alexis Herrera,Enfermero/a,CO,Cali,Diurno,Activo,2020-10-08
-7043982544032646465,Megan Richards,Personal de Laboratorio,AR,Buenos Aires,Diurno,Activo,2024-01-30
-7031860728945716052,Ashley Hall,Médico Especialista,CO,Ibagué,Tarde,Activo,2016-11-26
-7024763861139741525,Kristina Herman,Médico Especialista,CO,Medellín,Tarde,Activo,2018-09-02
-7024046068671392199,Rodney Blankenship,Administrativo - Facturación,ES,Valencia,Diurno,Activo,2019-05-26
-7023686383058429112,Charles Shah,Personal de Laboratorio,ES,Sevilla,Diurno,Activo,2019-06-02
-7020925840900728870,Brent Clay Jr.,Médico General,CO,Medellín,Tarde,Activo,2020-10-05
-7011978028440917749,Natalie Bautista,Auxiliar de Enfermería,CO,Ibagué,Diurno,Activo,2020-06-13
-7009268069581277306,Brittany Perry,Auxiliar de Enfermería,CO,Medellín,Tarde,Activo,2017-07-27
-6989906456728471241,Jason Lynn Jr.,Administrativo - RRHH,CO,Bucaramanga,Diurno,Activo,2020-01-05
-6987162620602207266,Trevor Foley,Auxiliar de Enfermería,AR,Rosario,Diurno,Inactivo,2017-07-28
-6979735541105773098,Kimberly Levine,Enfermero/a,CO,Ibagué,Nocturno,Inactivo,2019-11-27
-6979634761194201971,Colton Martinez,Enfermero/a,CO,Barranquilla,Tarde,Activo,2024-04-23
-6970696779715960382,Matthew May,Enfermero/a,ES,Barcelona,Diurno,Activo,2022-01-19
-6966478227404328908,Richard Sanchez,Farmacéutico/a,CO,Barranquilla,Tarde,Activo,2017-10-23
-6952854136912555233,Andrea Hubbard,Administrativo - RRHH,CO,Barranquilla,Nocturno,Activo,2018-07-17
-6937900768570142931,Sergio Murphy,Enfermero/a,CO,Medellín,Tarde,Activo,2018-01-03
-6928219068528422023,April Garrison,Médico General,CO,Bogotá,Tarde,Activo,2017-12-24
-6923821208217330361,David Thompson,Médico General,AR,Buenos Aires,Administrativo,Activo,2022-08-17
-6906051128120916583,Adrian Tyler,Personal de Laboratorio,CO,Bucaramanga,Tarde,Activo,2018-10-27
-6890682987916655802,Christopher Williams,Administrativo - Facturación,CO,Barranquilla,Administrativo,Activo,2023-05-10
-6888152120773530840,Nichole Alvarez,Médico Especialista,CO,Cali,Nocturno,Activo,2023-09-06
-6877727884491600124,Ashley Gordon,Médico Especialista,US,Houston,Diurno,Activo,2025-03-09
-6871584457783232398,Richard Camacho,Auxiliar de Enfermería,CO,Barranquilla,Tarde,Activo,2021-05-16
-6871176141358239598,Victor Brown,Médico General,US,Houston,Nocturno,Activo,2020-12-27
-6865101763213227399,Michael Henry,Administrativo - Facturación,PE,Cusco,Administrativo,Activo,2024-11-12
-6855146837931290282,Bobby Franklin,Enfermero/a,CO,Bogotá,Tarde,Activo,2017-04-08
-6849945193664135318,Mark Kelley,Médico Especialista,ES,Madrid,Diurno,Activo,2019-08-09
-6839578956892577050,Kerry Chavez DDS,Personal de TI / Soporte,CO,Bogotá,Tarde,Activo,2017-07-27
